id,display_name,previous_nutrition_value_status,new_nutrition_value_status,was_unverified,root_type,primary_source_id,source_lookup_key,serving_basis,calculation_basis,verification_note,checked_on
food_rice_small,ごはん小盛り,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ごはん小盛り / 近い食品区分を100g値で確認,100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_rice_regular,ごはん普通盛り,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ごはん普通盛り / 近い食品区分を100g値で確認,150g,文科省100g値を serving_g=150g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_onigiri_salt,塩おにぎり,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1個 110g,1個 110g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_onigiri_salmon,鮭おにぎり,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1個 115g,1個 115g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_onigiri_tuna_mayo,ツナマヨおにぎり,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1個 115g,1個 115g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_udon_plain,かけうどん,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 350g,1杯 350g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_soba_plain,そば,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 300g,1杯 300g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_pasta_tomato,トマトパスタ,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1皿 300g,1皿 300g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_whole_wheat_bread,全粒粉パン,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 全粒粉パン / 近い食品区分を100g値で確認,2枚 80g,文科省100g値を serving_g=80g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_white_bread_toast,食パン,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 食パン / 近い食品区分を100g値で確認,6枚切り1枚 60g,文科省100g値を serving_g=60g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_oatmeal,オートミール,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: オートミール / 近い食品区分を100g値で確認,40g,文科省100g値を serving_g=40g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_potato_steamed,蒸しじゃがいも,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 蒸しじゃがいも / 近い食品区分を100g値で確認,150g,文科省100g値を serving_g=150g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_sweet_potato,焼きいも,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 焼きいも / 近い食品区分を100g値で確認,150g,文科省100g値を serving_g=150g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_rice_porridge,おかゆ,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: おかゆ / 近い食品区分を100g値で確認,250g,文科省100g値を serving_g=250g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_chicken_breast,鶏むね肉,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 鶏むね肉 / 近い食品区分を100g値で確認,皮なし加熱 120g,文科省100g値を serving_g=120g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_salad_chicken,サラダチキン,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1個 110g,1個 110g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_chicken_thigh_grilled,鶏もも焼き,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 鶏もも焼き / 近い食品区分を100g値で確認,皮つき加熱 120g,文科省100g値を serving_g=120g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_pork_tenderloin,豚ヒレ,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 豚ヒレ / 近い食品区分を100g値で確認,加熱 120g,文科省100g値を serving_g=120g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_beef_lean,牛赤身肉,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 牛赤身肉 / 近い食品区分を100g値で確認,加熱 120g,文科省100g値を serving_g=120g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_chicken_sasami,鶏ささみ,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 鶏ささみ / 近い食品区分を100g値で確認,加熱 120g,文科省100g値を serving_g=120g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_tuna_can_water,ツナ水煮,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ツナ水煮 / 近い食品区分を100g値で確認,1缶 70g,文科省100g値を serving_g=70g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_salmon_grilled,焼き鮭,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 焼き鮭 / 近い食品区分を100g値で確認,1切れ 90g,文科省100g値を serving_g=90g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_bonito,かつお,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: かつお / 近い食品区分を100g値で確認,刺身 100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_mackerel_grilled,焼きさば,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 焼きさば / 近い食品区分を100g値で確認,1切れ 100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_white_fish,白身魚,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 白身魚 / 近い食品区分を100g値で確認,加熱 100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_shrimp,えび,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: えび / 近い食品区分を100g値で確認,ゆで 100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_clam_miso,あさり味噌汁,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 200g,1杯 200g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_boiled_egg,ゆで卵,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ゆで卵 / 近い食品区分を100g値で確認,1個 55g,文科省100g値を serving_g=55g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_scrambled_egg,卵焼き,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 卵2個分 120g,卵2個分 120g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_egg_drop_soup,卵スープ,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 220g,1杯 220g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_tofu_cold,冷ややっこ,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 冷ややっこ / 近い食品区分を100g値で確認,150g,文科省100g値を serving_g=150g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_tofu_miso_soup,豆腐味噌汁,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 220g,1杯 220g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_natto,納豆,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 納豆 / 近い食品区分を100g値で確認,1パック 45g,文科省100g値を serving_g=45g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_natto_rice,納豆ごはん,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: ごはん150g+納豆45g,ごはん150g+納豆45g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_edamame,枝豆,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 枝豆 / 近い食品区分を100g値で確認,可食部 80g,文科省100g値を serving_g=80g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_soy_milk_unsweetened,無調整豆乳,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 無調整豆乳 / 近い食品区分を100g値で確認,200ml,文科省100g値を serving_g=200g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_soy_meat_bowl,大豆ミート丼,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 350g,1杯 350g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_boiled_beans,ミックスビーンズ,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ミックスビーンズ / 近い食品区分を100g値で確認,80g,文科省100g値を serving_g=80g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_milk,牛乳,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 牛乳 / 近い食品区分を100g値で確認,200ml,文科省100g値を serving_g=200g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_lowfat_milk,低脂肪乳,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 低脂肪乳 / 近い食品区分を100g値で確認,200ml,文科省100g値を serving_g=200g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
