id,display_name,previous_nutrition_value_status,new_nutrition_value_status,was_unverified,root_type,primary_source_id,source_lookup_key,serving_basis,calculation_basis,verification_note,checked_on
food_yogurt_plain,プレーンヨーグルト,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: プレーンヨーグルト / 近い食品区分を100g値で確認,150g,文科省100g値を serving_g=150g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_greek_yogurt,ギリシャヨーグルト,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ギリシャヨーグルト / 近い食品区分を100g値で確認,150g,文科省100g値を serving_g=150g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_greek_yogurt_banana,ギリシャヨーグルト＋バナナ,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: ヨーグルト150g+バナナ100g,ヨーグルト150g+バナナ100g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_cottage_cheese,カッテージチーズ,final_verified,final_verified,false,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: カッテージチーズ / 近い食品区分を100g値で確認,100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_cheese,チーズ,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: チーズ / 近い食品区分を100g値で確認,40g,文科省100g値を serving_g=40g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_banana,バナナ,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: バナナ / 近い食品区分を100g値で確認,1本 100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_clam_komatsuna_miso_soup,あさりと小松菜の味噌汁,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 230g,1杯 230g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_orange,オレンジ,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: オレンジ / 近い食品区分を100g値で確認,1個 120g,文科省100g値を serving_g=120g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_kiwi,キウイ,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: キウイ / 近い食品区分を100g値で確認,1個 80g,文科省100g値を serving_g=80g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_frozen_berries,ベリー,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ベリー / 近い食品区分を100g値で確認,100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_vegetable_salad,野菜サラダ,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1皿 120g,1皿 120g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_vegetable_soup,野菜スープ,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 250g,1杯 250g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_minestrone,ミネストローネ,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 250g,1杯 250g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_spinach_ohitashi,ほうれん草のおひたし,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ほうれん草のおひたし / 近い食品区分を100g値で確認,70g,文科省100g値を serving_g=70g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_komatsuna,小松菜,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 小松菜 / 近い食品区分を100g値で確認,ゆで 80g,文科省100g値を serving_g=80g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_broccoli,ブロッコリー,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ブロッコリー / 近い食品区分を100g値で確認,ゆで 100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_mushroom_soup,きのこスープ,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 220g,1杯 220g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_seaweed_salad,海藻サラダ,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 80g,80g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_tomato,トマト,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: トマト / 近い食品区分を100g値で確認,1個 150g,文科省100g値を serving_g=150g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_mixed_nuts,ミックスナッツ,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ミックスナッツ / 近い食品区分を100g値で確認,30g,文科省100g値を serving_g=30g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_peanut_butter_toast,ピーナッツバタートースト,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 食パン60g+ピーナッツバター20g,食パン60g+ピーナッツバター20g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_avocado,アボカド,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: アボカド / 近い食品区分を100g値で確認,1/2個 100g,文科省100g値を serving_g=100g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_fried_chicken,唐揚げ,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 4個 160g,4個 160g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_salmon_onigiri_egg,鮭おにぎり＋ゆで卵,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 鮭おにぎり1個+ゆで卵1個,鮭おにぎり1個+ゆで卵1個,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_chicken_rice,鶏むね肉＋ごはん,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 鶏むね120g+ごはん150g,鶏むね120g+ごはん150g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_chicken_soboro_bowl,鶏そぼろ丼,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 350g,1杯 350g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_tuna_egg_sand,ツナ卵サンド,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1パック 180g,1パック 180g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_beef_lean_bowl,牛赤身丼,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 380g,1杯 380g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_white_fish_rice,白身魚＋ごはん,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 白身魚100g+ごはん150g,白身魚100g+ごはん150g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_egg_zosui,卵雑炊,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 350g,1杯 350g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_udon_egg,卵うどん,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 380g,1杯 380g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_grilled_salmon_set,鮭定食ライト,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 鮭90g+ごはん150g+味噌汁,鮭90g+ごはん150g+味噌汁,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_fried_chicken_bento,唐揚げ弁当,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1食 500g,1食 500g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_chicken_salad_onigiri_small,鶏むねサラダ＋小おにぎり,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 鶏むね80g+野菜100g+おにぎり小100g,鶏むね80g+野菜100g+おにぎり小100g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_water,水,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: 水 / 近い食品区分を100g値で確認,500ml,文科省100g値を serving_g=500g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_sports_drink,スポーツドリンク,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 500ml,500ml,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_black_coffee,ブラックコーヒー,draft_needs_mext_or_label_verification,final_verified,true,mext_single_food,SRC_MEXT_FOODDB;SRC_MEXT_2023,MEXT検索名: ブラックコーヒー / 近い食品区分を100g値で確認,200ml,文科省100g値を serving_g=200g に換算。加工・調味の追加がある場合は標準モデル扱いに回す。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_energy_drink,エナジードリンク,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 250ml,250ml,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_zero_jelly,ノンカロリーゼリー,draft_needs_mext_or_label_verification,final_verified,true,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 180g,180g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
food_miso_soup,味噌汁,final_verified,final_verified,false,standard_model_calculation,SRC_STANDARD_MODEL_V1,標準モデル: 1杯 180g,1杯 180g,構成材料の文科省値、一般的な製品表示、または既存標準モデルを1食分で合算。製品差が大きいので問題文の数値を正本にする。,正解候補として使う場合は、F01〜F09の数値条件と安全除外を先に通す。,2026-06-15
