id,display_name,group,serving_label,serving_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,salt_equivalent_g,iron_mg,calcium_mg,caffeine_mg,allergen_tags,role_tags,usable_problem_types,nutrition_value_status,notes
food_rice_small,ごはん小盛り,carb_main,100g,100,156,2.5,0.3,37.1,1.5,0.0,0.1,3,0,,carb_main;moderate_carb;low_fat;easy_to_eat;light_meal,F06;F08,final_verified,軽めの炭水化物。単体ではたんぱく質不足。
food_rice_regular,ごはん普通盛り,carb_main,150g,150,234,3.8,0.5,55.7,2.3,0.0,0.2,5,0,,carb_main;high_carb;low_fat,F02;F09,final_verified,炭水化物補給の基本。単体ではたんぱく質不足。
food_onigiri_salt,塩おにぎり,carb_main,1個 110g,110,185,3.0,0.4,42.0,1.6,0.7,0.2,5,0,,carb_main;moderate_carb;easy_to_eat;low_fat;moderate_sodium,F02;F09,final_verified,汗をかいた後の軽食にも使える。単体ではたんぱく質不足。
food_onigiri_salmon,鮭おにぎり,carb_main,1個 115g,115,195,5.0,1.0,41.0,1.5,0.8,0.3,8,0,contains_fish,carb_main;fish_based;moderate_carb;low_fat;easy_to_eat,F02;F06,final_verified,炭水化物に少量の魚たんぱく質を足す。筋肥大ではたんぱく質不足。
food_onigiri_tuna_mayo,ツナマヨおにぎり,carb_main,1個 115g,115,235,5.5,6.5,38.0,1.3,0.9,0.3,8,0,contains_fish;contains_egg,carb_main;fish_based;moderate_carb;moderate_fat;easy_to_eat,F02,final_verified,脂質が上がりやすい。胃もたれ問題では惜しい候補。
food_udon_plain,かけうどん,carb_main,1杯 350g,350,285,8.0,1.0,58.0,2.5,3.0,0.4,20,0,contains_wheat,carb_main;soup;hydration_support;moderate_carb;low_fat;easy_to_eat;moderate_sodium,F06;F09,final_verified,水分と炭水化物を取りやすい。塩分が多くなりやすい。
food_soba_plain,そば,carb_main,1杯 300g,300,310,12.0,2.0,60.0,4.0,2.5,1.2,25,0,contains_buckwheat;contains_wheat,carb_main;moderate_carb;moderate_protein;low_fat;easy_to_eat,F02;F06,final_verified,うどんよりたんぱく質を見込めるが、そば・小麦の除外条件に注意。
food_pasta_tomato,トマトパスタ,carb_main,1皿 300g,300,480,14.0,12.0,78.0,5.0,2.0,1.6,35,0,contains_wheat,carb_main;high_carb;moderate_energy;moderate_fat,F02,final_verified,炭水化物とエネルギーを取りやすい。たんぱく質は不足しやすい。
food_whole_wheat_bread,全粒粉パン,carb_main,2枚 80g,80,200,7.0,3.0,38.0,5.0,1.0,1.2,30,0,contains_wheat,carb_main;moderate_carb;moderate_fiber;easy_to_eat,F03,final_verified,食物繊維が多め。単体ではたんぱく質不足。
food_white_bread_toast,食パン,carb_main,6枚切り1枚 60g,60,155,5.5,2.5,28.0,1.5,0.8,0.4,20,0,contains_wheat;contains_milk,carb_main;moderate_carb;low_fat;easy_to_eat,F06,final_verified,食べやすい炭水化物。製品に乳を含む場合がある。
food_oatmeal,オートミール,carb_main,40g,40,150,5.5,2.3,27.5,3.8,0.0,1.6,20,0,,carb_main;moderate_carb;moderate_fiber;satiety_support,F03,final_verified,減量中の満腹感には使える。胃もたれ時は食物繊維が重いことがある。
food_potato_steamed,蒸しじゃがいも,carb_main,150g,150,115,2.5,0.2,27.0,2.0,0.0,0.6,6,0,,carb_main;moderate_carb;low_fat;easy_to_eat,F02;F06,final_verified,脂質が少ない炭水化物。単体ではたんぱく質不足。
food_sweet_potato,焼きいも,carb_main,150g,150,245,2.1,0.3,58.0,5.3,0.0,0.9,51,0,,carb_main;moderate_carb;moderate_fiber;satiety_support;easy_to_eat,F03,final_verified,炭水化物と食物繊維。筋トレ後はたんぱく質不足。
food_rice_porridge,おかゆ,carb_main,250g,250,160,3.0,0.3,36.0,1.0,0.2,0.2,5,0,,carb_main;soup;light_meal;hydration_support;low_fat;easy_to_eat,F06;F08,final_verified,食欲が少ない時に使いやすい。たんぱく質とエネルギーは不足しやすい。
food_chicken_breast,鶏むね肉,meat_fish_egg,皮なし加熱 120g,120,145,28.0,3.0,0.0,0.0,0.2,0.4,6,0,,meat_based;protein_main;high_protein;low_fat;good_for_hypertrophy;good_for_weight_loss_muscle_retention,F01;F03,final_verified,高たんぱく低脂質。消費量が大きい回復では炭水化物不足。
food_salad_chicken,サラダチキン,meat_fish_egg,1個 110g,110,120,24.0,1.8,2.0,0.0,1.5,0.3,5,0,,meat_based;protein_main;high_protein;very_low_carb;low_energy;low_fat;near_miss_protein_ok_energy_low,F01;F03,final_verified,手軽なたんぱく質。F02/F04ではエネルギー不足になりやすい。
food_chicken_thigh_grilled,鶏もも焼き,meat_fish_egg,皮つき加熱 120g,120,270,25.0,18.0,0.0,0.0,0.4,0.8,7,0,,meat_based;protein_main;high_protein;moderate_fat;good_for_hypertrophy,F01,final_verified,たんぱく質は多いが脂質も多い。夜遅い・胃もたれでは重い。
food_pork_tenderloin,豚ヒレ,meat_fish_egg,加熱 120g,120,170,27.0,5.0,0.0,0.0,0.3,1.2,6,0,,meat_based;protein_main;high_protein;low_fat;good_for_hypertrophy;good_for_weight_loss_muscle_retention,F01;F03,final_verified,高たんぱく低脂質。単体では炭水化物不足。
food_beef_lean,牛赤身肉,meat_fish_egg,加熱 120g,120,240,26.0,13.0,0.0,0.0,0.4,2.4,6,0,,meat_based;protein_main;high_protein;iron_support;moderate_iron;good_for_hypertrophy;good_for_iron_context,F01;F05,final_verified,たんぱく質と鉄を意識できる。夜遅い時は重い。
food_chicken_sasami,鶏ささみ,meat_fish_egg,加熱 120g,120,130,28.0,1.2,0.0,0.0,0.2,0.4,5,0,,meat_based;protein_main;high_protein;very_low_fat;low_energy;good_for_weight_loss_muscle_retention,F03,final_verified,かなり低脂質。F02/F04ではエネルギー不足になりやすい。
food_tuna_can_water,ツナ水煮,meat_fish_egg,1缶 70g,70,75,16.0,0.7,0.1,0.0,0.6,0.6,5,0,contains_fish,fish_based;protein_main;high_protein;low_fat;easy_to_eat,F01;F07,final_verified,手軽な魚たんぱく質。単体では炭水化物不足。
food_salmon_grilled,焼き鮭,meat_fish_egg,1切れ 90g,90,180,20.0,10.0,0.1,0.0,1.2,0.6,10,0,contains_fish,fish_based;protein_main;high_protein;moderate_fat;good_for_hypertrophy,F01;F05,final_verified,魚由来のたんぱく質。塩鮭は塩分に注意。
food_bonito,かつお,meat_fish_egg,刺身 100g,100,165,25.0,6.0,0.1,0.0,0.2,1.9,8,0,contains_fish,fish_based;protein_main;high_protein;iron_support;moderate_iron;good_for_iron_context,F05;F01,final_verified,たんぱく質と鉄を意識しやすい。食事全体では炭水化物不足。
food_mackerel_grilled,焼きさば,meat_fish_egg,1切れ 100g,100,290,22.0,22.0,0.3,0.0,0.9,1.2,7,0,contains_fish,fish_based;protein_main;high_protein;high_fat;heavy_digestive,F01,final_verified,魚たんぱく質だが脂質が多い。F06/F08では重い。
food_white_fish,白身魚,meat_fish_egg,加熱 100g,100,115,20.0,3.0,0.0,0.0,0.3,0.2,20,0,contains_fish,fish_based;protein_main;moderate_protein;low_fat;light_meal;easy_to_eat;good_for_digestive_comfort,F06;F08,final_verified,軽めのたんぱく質。消費量が大きい回復では炭水化物不足。
food_shrimp,えび,meat_fish_egg,ゆで 100g,100,95,20.0,0.6,0.3,0.0,0.5,0.3,60,0,contains_shrimp,fish_based;protein_main;moderate_protein;low_fat;easy_to_eat,F03;F07,final_verified,低脂質なたんぱく質。えび除外条件では不正解。
food_clam_miso,あさり味噌汁,meat_fish_egg,1杯 200g,200,45,4.0,1.0,5.0,1.0,1.5,3.8,35,0,contains_shellfish;contains_soy,fish_based;soup;hydration_support;iron_support;moderate_sodium;light_meal,F05;F09,final_verified,水分・塩分・鉄を意識できるが、単体ではたんぱく質やエネルギー不足。
food_boiled_egg,ゆで卵,meat_fish_egg,1個 55g,55,75,6.5,5.2,0.2,0.0,0.2,0.9,25,0,contains_egg,egg_based;protein_main;moderate_protein;low_carb;easy_to_eat,F01;F06,final_verified,手軽なたんぱく質。単体では炭水化物やエネルギー不足。
food_scrambled_egg,卵焼き,meat_fish_egg,卵2個分 120g,120,190,12.0,13.0,5.0,0.0,1.0,1.8,55,0,contains_egg,egg_based;protein_main;moderate_protein;moderate_fat;easy_to_eat,F01,final_verified,卵由来たんぱく質。調理油・味付けで脂質と塩分が増える。
food_egg_drop_soup,卵スープ,meat_fish_egg,1杯 220g,220,85,6.0,4.0,6.0,0.5,1.3,0.7,35,0,contains_egg,egg_based;soup;light_meal;hydration_support;moderate_protein;low_fat;easy_to_eat,F06;F08,final_verified,軽くたんぱく質を足せる汁物。エネルギー補給が必要な時は不足。
food_tofu_cold,冷ややっこ,soy,150g,150,85,7.5,5.0,3.0,1.0,0.4,1.5,120,0,contains_soy,soy_based;protein_main;moderate_protein;low_fat;light_meal;easy_to_eat,F06;F08;F07,final_verified,軽めの植物性たんぱく質。大豆除外条件では不正解。
food_tofu_miso_soup,豆腐味噌汁,soy,1杯 220g,220,80,6.0,3.5,7.0,1.2,1.6,1.0,80,0,contains_soy,soy_based;soup;hydration_support;light_meal;moderate_sodium;easy_to_eat,F06;F09,final_verified,水分・塩分・軽めのたんぱく質。単体では不足しやすい。
food_natto,納豆,soy,1パック 45g,45,90,7.5,4.5,5.5,3.0,0.4,1.5,40,0,contains_soy,soy_based;protein_main;moderate_protein;iron_support;moderate_fiber;satiety_support,F03;F05,final_verified,大豆たんぱく質と鉄。単体では炭水化物やエネルギー不足。
food_natto_rice,納豆ごはん,soy,ごはん150g+納豆45g,195,325,11.5,5.0,61.0,5.0,0.5,1.7,45,0,contains_soy,soy_based;combo_meal;recovery_combo;moderate_protein;high_carb;moderate_energy;satiety_support,F02;F03,final_verified,炭水化物と大豆たんぱく質。高強度筋肥大ではたんぱく質不足の場合あり。
food_edamame,枝豆,soy,可食部 80g,80,110,9.0,5.0,8.0,4.0,0.4,2.0,45,0,contains_soy,soy_based;moderate_protein;moderate_fiber;satiety_support;easy_to_eat,F03,final_verified,軽くたんぱく質と食物繊維。単体ではエネルギーや炭水化物不足。
food_soy_milk_unsweetened,無調整豆乳,soy,200ml,200,90,7.0,4.0,5.0,0.5,0.0,1.2,30,0,contains_soy,soy_based;drink;moderate_protein;low_carb;easy_to_eat,F07,final_verified,乳製品が合わない人の植物性候補。回復食としては不足しやすい。
food_soy_meat_bowl,大豆ミート丼,soy,1杯 350g,350,520,23.0,12.0,78.0,6.0,2.0,3.0,80,0,contains_soy;contains_wheat,soy_based;combo_meal;recovery_combo;moderate_protein;high_carb;moderate_energy,F02;F07,final_verified,植物性でたんぱく質と炭水化物。大豆・小麦除外条件に注意。
food_boiled_beans,ミックスビーンズ,soy,80g,80,125,8.0,2.0,20.0,7.0,0.3,1.8,45,0,contains_soy,soy_based;moderate_protein;high_fiber;satiety_support,F03,final_verified,食物繊維が多い。胃もたれ時や運動直後は重いことがある。
food_milk,牛乳,dairy,200ml,200,125,6.8,7.6,9.6,0.0,0.2,0.0,220,0,contains_milk,milk_based;drink;moderate_protein;moderate_calcium;hydration_support,F07,final_verified,乳たんぱく質・カルシウム・水分。乳製品が合わない場合は不正解。
food_lowfat_milk,低脂肪乳,dairy,200ml,200,95,7.6,2.0,11.0,0.0,0.2,0.0,240,0,contains_milk,milk_based;drink;moderate_protein;low_fat;moderate_calcium,F03;F07,final_verified,脂質を抑えた乳製品。乳製品が合わない場合は不正解。
food_yogurt_plain,プレーンヨーグルト,dairy,150g,150,95,5.5,4.5,7.5,0.0,0.2,0.0,180,0,contains_milk,milk_based;light_meal;easy_to_eat;moderate_protein;moderate_calcium,F06;F08,final_verified,軽く食べやすい。単体では炭水化物やエネルギー不足。
food_greek_yogurt,ギリシャヨーグルト,dairy,150g,150,110,15.0,0.5,8.0,0.0,0.2,0.0,150,0,contains_milk,milk_based;protein_main;moderate_protein;low_fat;light_meal;easy_to_eat,F01;F06;F08,final_verified,乳製品の中ではたんぱく質を取りやすい。炭水化物が必要な問題では単体だと不足。
food_greek_yogurt_banana,ギリシャヨーグルト＋バナナ,dairy,ヨーグルト150g+バナナ100g,250,200,16.0,1.0,31.0,2.0,0.2,0.3,160,0,contains_milk,milk_based;combo_meal;recovery_combo;moderate_protein;moderate_carb;moderate_energy;light_meal;easy_to_eat;good_for_digestive_comfort;good_for_late_night,F06;F08;F02,final_verified,軽めにたんぱく質と炭水化物。乳製品除外では不正解。
food_cottage_cheese,カッテージチーズ,dairy,100g,100,105,13.0,4.5,2.0,0.0,0.8,0.1,55,0,contains_milk,milk_based;protein_main;moderate_protein;low_fat;light_meal,F03;F08,final_verified,比較的軽いたんぱく質。乳製品除外では不正解。
food_cheese,チーズ,dairy,40g,40,140,9.0,11.0,1.0,0.0,0.8,0.1,250,0,contains_milk,milk_based;moderate_protein;moderate_calcium;moderate_fat;moderate_sodium,F03,final_verified,たんぱく質とカルシウムはあるが脂質・塩分が増えやすい。
food_banana,バナナ,vegetable_fruit_soup,1本 100g,100,93,1.1,0.2,22.5,1.1,0.0,0.3,6,0,,fruit;carb_main;moderate_carb;low_protein;low_fat;easy_to_eat;near_miss_carb_ok_protein_low,F02;F06,final_verified,食べやすい炭水化物。筋トレ後はたんぱく質不足。
food_clam_komatsuna_miso_soup,あさりと小松菜の味噌汁,vegetable_fruit_soup,1杯 230g,230,60,5.0,1.5,8.0,2.0,1.6,4.2,150,0,contains_shellfish;contains_soy,soup;hydration_support;iron_support;moderate_calcium;moderate_sodium;light_meal,F05;F09,final_verified,v1.0追加。鉄・水分・塩分をまとめて扱う候補。単体ではたんぱく質不足。
food_orange,オレンジ,vegetable_fruit_soup,1個 120g,120,55,1.0,0.1,13.0,1.8,0.0,0.1,25,0,,fruit;low_energy;low_protein;low_fat;easy_to_eat;hydration_support,F09,final_verified,水分を含む果物。たんぱく質とエネルギーは不足。
food_kiwi,キウイ,vegetable_fruit_soup,1個 80g,80,45,0.8,0.1,11.0,2.0,0.0,0.2,25,0,,fruit;low_energy;low_protein;low_fat;easy_to_eat,F06,final_verified,軽めの果物。回復食としてはたんぱく質不足。
food_frozen_berries,ベリー,vegetable_fruit_soup,100g,100,50,0.7,0.3,12.0,4.0,0.0,0.4,15,0,,fruit;low_energy;low_protein;low_fat;easy_to_eat,F03,final_verified,低エネルギーの果物。筋肉維持のたんぱく質は不足。
food_vegetable_salad,野菜サラダ,vegetable_fruit_soup,1皿 120g,120,35,2.0,0.3,7.0,3.0,0.2,0.8,35,0,,vegetable_only;low_energy;very_low_protein;low_recovery_value,F03,final_verified,野菜を取れるが、単体では回復食として弱い。
food_vegetable_soup,野菜スープ,vegetable_fruit_soup,1杯 250g,250,80,3.0,2.0,14.0,3.0,1.2,0.8,45,0,,soup;hydration_support;light_meal;low_energy;very_low_protein;easy_to_eat,F06;F09,final_verified,水分と野菜。たんぱく質とエネルギーは不足しやすい。
food_minestrone,ミネストローネ,vegetable_fruit_soup,1杯 250g,250,130,5.0,3.0,22.0,4.0,1.5,1.0,50,0,contains_wheat,soup;hydration_support;light_meal;moderate_carb;moderate_sodium;easy_to_eat,F06;F09,final_verified,野菜と水分を取りやすい。たんぱく質は不足。
food_spinach_ohitashi,ほうれん草のおひたし,vegetable_fruit_soup,70g,70,25,2.0,0.3,4.0,2.0,0.5,1.4,35,0,contains_soy,vegetable_only;iron_support;low_energy;very_low_protein,F05,final_verified,鉄を意識できる野菜。筋トレ後はたんぱく質不足。
food_komatsuna,小松菜,vegetable_fruit_soup,ゆで 80g,80,20,1.5,0.2,3.0,2.0,0.0,2.2,136,0,,vegetable_only;iron_support;moderate_calcium;low_energy;very_low_protein,F05,final_verified,鉄・カルシウムを意識できる野菜。回復食としては弱い。
food_broccoli,ブロッコリー,vegetable_fruit_soup,ゆで 100g,100,35,4.0,0.5,7.0,4.5,0.0,1.0,50,0,,vegetable_only;low_energy;low_protein;moderate_fiber;satiety_support,F03,final_verified,減量中の副菜。たんぱく質は不足。
food_mushroom_soup,きのこスープ,vegetable_fruit_soup,1杯 220g,220,60,3.0,2.0,9.0,3.5,1.2,0.6,20,0,,soup;hydration_support;light_meal;low_energy;moderate_fiber;very_low_protein,F03;F06,final_verified,低エネルギーの汁物。回復食としてはたんぱく質不足。
food_seaweed_salad,海藻サラダ,vegetable_fruit_soup,80g,80,35,1.5,0.5,7.0,4.0,0.8,0.6,60,0,,vegetable_only;low_energy;very_low_protein;moderate_fiber;satiety_support;low_recovery_value,F03,final_verified,軽いが、筋トレ後の回復食としては弱い。
food_tomato,トマト,vegetable_fruit_soup,1個 150g,150,30,1.0,0.2,7.0,1.5,0.0,0.3,10,0,,vegetable_only;low_energy;very_low_protein;easy_to_eat,F06,final_verified,軽い野菜。単体では回復食として弱い。
food_mixed_nuts,ミックスナッツ,nuts_oil_heavy,30g,30,185,5.0,16.0,6.0,3.0,0.1,1.2,35,0,contains_tree_nuts;contains_peanut,high_fat;high_energy;satiety_support;heavy_digestive,F03,final_verified,脂質とエネルギーが増えやすい。減量では量に注意。
food_peanut_butter_toast,ピーナッツバタートースト,nuts_oil_heavy,食パン60g+ピーナッツバター20g,80,275,10.0,13.0,32.0,3.0,1.0,0.8,30,0,contains_wheat;contains_peanut;contains_milk,high_energy;moderate_carb;high_fat;heavy_digestive,F04,final_verified,エネルギーは取れるが脂質が多く、たんぱく質は不足しやすい。
food_avocado,アボカド,nuts_oil_heavy,1/2個 100g,100,180,2.5,17.0,8.0,5.0,0.0,0.6,8,0,,high_fat;moderate_energy;low_protein;satiety_support,F03,final_verified,脂質を含む食品。筋トレ後のたんぱく質候補としては弱い。
food_fried_chicken,唐揚げ,nuts_oil_heavy,4個 160g,160,420,27.0,28.0,15.0,1.0,2.0,1.2,20,0,contains_wheat;contains_egg,meat_based;protein_main;high_fat;high_energy;heavy_digestive,F01,final_verified,たんぱく質はあるが脂質が高い。胃もたれや夜遅い問題では不向き。
food_salmon_onigiri_egg,鮭おにぎり＋ゆで卵,combo_meal,鮭おにぎり1個+ゆで卵1個,170,270,11.5,6.0,41.0,1.5,1.0,1.2,35,0,contains_fish;contains_egg,fish_based;egg_based;recovery_combo;moderate_protein;high_carb;moderate_energy;easy_to_eat;good_for_energy_recovery,F02;F04,final_verified,基本の回復候補。高強度筋肥大ではたんぱく質不足の場合あり。
food_chicken_rice,鶏むね肉＋ごはん,combo_meal,鶏むね120g+ごはん150g,270,380,31.8,3.5,55.7,2.3,0.3,0.6,11,0,,meat_based;recovery_combo;high_protein;high_carb;moderate_energy;low_fat;good_for_hypertrophy;good_for_energy_recovery,F01;F02;F03,final_verified,筋トレ後の基本候補。減量中はごはん量を調整。
food_chicken_soboro_bowl,鶏そぼろ丼,combo_meal,1杯 350g,350,560,28.0,15.0,76.0,3.0,2.0,2.0,50,0,contains_egg;contains_soy,meat_based;egg_based;recovery_combo;high_protein;high_carb;moderate_energy;good_for_energy_recovery,F02;F04,final_verified,たんぱく質と炭水化物をまとめて取る。味付け塩分に注意。
food_tuna_egg_sand,ツナ卵サンド,combo_meal,1パック 180g,180,370,17.0,18.0,34.0,2.0,1.8,1.4,50,0,contains_wheat;contains_egg;contains_fish;contains_milk,fish_based;egg_based;recovery_combo;moderate_protein;moderate_carb;moderate_fat;easy_to_eat,F02;F06,final_verified,脂質がやや重い。胃もたれ条件では惜しい候補。
food_beef_lean_bowl,牛赤身丼,combo_meal,1杯 380g,380,650,32.0,18.0,85.0,3.0,2.2,3.0,35,0,contains_wheat;contains_soy,meat_based;recovery_combo;high_protein;high_carb;high_energy;iron_support;good_for_iron_context;good_for_low_energy_risk,F04;F05,final_verified,たんぱく質・炭水化物・鉄。夜遅い、胃もたれでは重い。
food_white_fish_rice,白身魚＋ごはん,combo_meal,白身魚100g+ごはん150g,250,350,23.8,3.5,55.7,2.3,0.4,0.4,25,0,contains_fish,fish_based;recovery_combo;moderate_protein;high_carb;moderate_energy;low_fat;light_meal;good_for_digestive_comfort,F06;F08;F02,final_verified,軽めにたんぱく質と炭水化物。
food_egg_zosui,卵雑炊,combo_meal,1杯 350g,350,260,12.0,6.0,38.0,1.5,1.5,1.2,55,0,contains_egg,soup;egg_based;light_meal;hydration_support;moderate_protein;moderate_carb;low_fat;easy_to_eat;good_for_late_night,F06;F08,final_verified,夜遅い、食欲なしで使いやすい。
food_udon_egg,卵うどん,combo_meal,1杯 380g,380,360,14.0,6.0,62.0,2.5,3.2,1.1,55,0,contains_wheat;contains_egg,soup;egg_based;recovery_combo;hydration_support;moderate_protein;high_carb;low_fat;easy_to_eat,F06;F09,final_verified,水分・炭水化物・たんぱく質を軽く取る。塩分が高くなりやすい。
food_grilled_salmon_set,鮭定食ライト,combo_meal,鮭90g+ごはん150g+味噌汁,450,480,27.0,11.5,62.0,3.5,2.6,1.2,55,0,contains_fish;contains_soy,fish_based;recovery_combo;high_protein;high_carb;moderate_energy;hydration_support;moderate_sodium;good_for_energy_recovery,F02;F09,final_verified,回復と汗対策の両方に使いやすい。
food_fried_chicken_bento,唐揚げ弁当,combo_meal,1食 500g,500,850,35.0,35.0,95.0,4.0,3.0,2.0,40,0,contains_wheat;contains_egg;contains_soy,meat_based;recovery_combo;high_protein;high_carb;very_high_energy;high_fat;heavy_digestive,F04,final_verified,エネルギーは取れるが、脂質が高い。胃もたれ、夜遅い、減量中では不向き。
food_chicken_salad_onigiri_small,鶏むねサラダ＋小おにぎり,combo_meal,鶏むね80g+野菜100g+おにぎり小100g,280,330,24.0,4.0,49.0,4.0,1.0,1.1,45,0,,meat_based;recovery_combo;high_protein;moderate_carb;low_fat;moderate_fiber;good_for_weight_loss_muscle_retention,F03;F02,final_verified,v1.0追加。減量中でも筋肉維持と回復を両立しやすい。
food_water,水,drink_support,500ml,500,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,drink;hydration_support;very_low_energy;very_low_protein;caffeine_none,F09,final_verified,水分補給の基本。汗が多い条件では塩分や糖質が不足。
food_sports_drink,スポーツドリンク,drink_support,500ml,500,125,0.0,0.0,31.0,0.0,0.5,0.0,0,0,,drink;hydration_support;moderate_carb;moderate_sodium;easy_to_eat,F09,final_verified,水分・糖質・電解質。筋トレ後のたんぱく質補給としては弱い。
food_black_coffee,ブラックコーヒー,drink_support,200ml,200,5,0.3,0.0,1.0,0.0,0.0,0.0,2,120,,drink;very_low_energy;very_low_protein;very_low_carb;caffeine;caffeine_moderate;low_recovery_value;wrong_for_recovery;wrong_for_late_night,F02;F08,final_verified,カフェインあり。回復食・夜遅い問題では不向き。
food_energy_drink,エナジードリンク,drink_support,250ml,250,115,0.0,0.0,28.0,0.0,0.2,0.0,0,80,,drink;caffeine;caffeine_high;moderate_carb;low_protein;wrong_for_late_night;low_recovery_value,F08,final_verified,カフェインと糖質に寄りやすい。たんぱく質や食事としての回復には弱い。
food_zero_jelly,ノンカロリーゼリー,drink_support,180g,180,5,0.0,0.0,1.0,1.0,0.1,0.0,0,0,,very_low_energy;very_low_protein;very_low_carb;diet_only;low_recovery_value;wrong_for_low_energy_risk,F04;F03,final_verified,軽いが、これだけを減量中の正解にしない。低エネルギー注意では不正解。
food_miso_soup,味噌汁,drink_support,1杯 180g,180,45,3.0,1.5,6.0,1.0,1.4,0.7,35,0,contains_soy,soup;hydration_support;moderate_sodium;light_meal;easy_to_eat,F09;F06,final_verified,v1.0追加。汗・水分・塩分問題の候補。単体ではたんぱく質とエネルギー不足。
